CreatedDate,ClosedDate,Time,Longitude,Latitude,Agency,Borough
2015-08-06,2015-08-10,4,-73.9538143462418,40.790558346112,TLC,MANHATTAN
2015-12-15,2015-12-15,17,-73.9628786679686,40.6807852231804,NYPD,BROOKLYN
2015-07-28,2015-07-28,1,-73.9155361476603,40.8343671269457,NYPD,BRONX
2015-12-15,2015-12-27,8,-73.89751266056,40.826137586269,HPD,BRONX
2015-04-20,2015-04-21,15,-73.9777720926263,40.790562711831,DEP,MANHATTAN
2015-05-27,2015-11-04,13,-73.9292384486206,40.8590814516234,DOB,MANHATTAN
2015-03-12,2015-03-20,11,-74.1221336388786,40.6120134064698,DEP,STATEN ISLAND
2015-02-22,2015-02-22,15,-73.8283355011034,40.703142859646,DEP,QUEENS
2015-08-20,2015-08-27,15,-73.817556821226,40.8343662859125,DOT,BRONX
2015-12-18,2015-12-18,11,-73.8325765191,40.76935266657,DOT,QUEENS
2015-02-18,2015-02-19,15,-73.9301887159875,40.7665684353367,NYPD,QUEENS
2015-10-09,2015-10-10,23,-73.9605765312001,40.6595755677245,NYPD,BROOKLYN
2015-06-29,2015-08-31,9,-73.9458430052009,40.8096362211372,DOB,MANHATTAN
2015-05-24,2015-05-24,22,-73.9153278026088,40.7567158191035,NYPD,QUEENS
2015-02-20,2015-02-20,21,-73.8696843017371,40.6779177444796,NYPD,BROOKLYN
2015-10-31,2015-11-01,22,-73.9159028274871,40.8187334906057,NYPD,BRONX
2015-07-15,2015-07-20,10,-73.9542464156366,40.7661660449159,DEP,MANHATTAN
2015-03-02,2015-03-05,14,-74.006558912549,40.6142464926516,DSNY,BROOKLYN
2015-04-17,2015-04-17,19,-73.9390180754319,40.8108569596109,NYPD,MANHATTAN
2015-04-19,2015-04-20,24,-73.7322244799097,40.672975379643,DSNY,QUEENS
2015-03-21,2015-03-28,23,-73.8904062742948,40.7531595700957,DEP,QUEENS
2015-08-13,2015-08-27,0,-73.8064374402613,40.7262629784839,DOHMH,QUEENS
2015-12-10,2015-12-16,8,-73.9866819648107,40.6609292394114,DOT,BROOKLYN
2015-05-07,2015-12-29,10,-73.9743473285326,40.6811973227651,DPR,BROOKLYN
2015-07-29,2015-08-11,10,-73.9478356969603,40.6684745583033,HPD,BROOKLYN
2015-06-10,2016-03-08,8,-73.9222143194728,40.6581946112618,DPR,BROOKLYN
2015-03-23,2015-04-06,15,-73.9804270268221,40.6288774965738,DOT,BROOKLYN
2015-07-20,2015-07-20,3,-73.9907062817719,40.7250913467203,NYPD,MANHATTAN
2015-08-24,2015-08-24,9,-73.9164853256087,40.6165521613675,NYPD,BROOKLYN
2015-05-30,2015-06-06,13,-73.9003045372816,40.8558762232736,DEP,BRONX
2015-05-11,2015-05-11,10,-73.8673088530772,40.8462200500697,DEP,BRONX
2015-05-25,2015-05-26,22,-73.9431449557108,40.8133869577506,NYPD,MANHATTAN
2015-07-12,2015-07-14,20,-73.9628142603093,40.6605095380938,DPR,BROOKLYN
2015-02-20,2015-02-20,11,-73.9708276159393,40.6830437162318,NYPD,BROOKLYN
2015-03-07,2015-03-14,9,-74.0048152194061,40.7083897546155,DEP,MANHATTAN
2015-05-11,2015-05-27,16,-73.8255387686747,40.7643907026365,DCA,QUEENS
2015-04-16,2015-04-17,23,-73.9505672287786,40.7863767718021,NYPD,MANHATTAN
2015-12-18,2016-01-21,15,-73.8995642671938,40.8601435929353,HPD,BRONX
2015-06-15,NA,9,-73.9047865602866,40.8789244877963,DPR,BRONX
2015-04-25,2015-04-26,18,-73.9190426034466,40.7413725967973,NYPD,QUEENS
2015-02-08,2015-02-08,13,-73.8944994530274,40.8692624523495,NYPD,BRONX
2015-06-29,2015-08-09,14,-73.9437772347753,40.6208588606491,DPR,BROOKLYN
2015-09-21,2015-09-25,24,-73.9439802979694,40.6836403725861,HPD,BROOKLYN
2015-09-15,2015-09-17,13,-73.9701363081372,40.6406559128875,HPD,BROOKLYN
2015-09-11,2015-10-03,18,-73.971205712453,40.7843663971774,HPD,MANHATTAN
2015-08-24,2015-08-25,18,-73.8795832167968,40.8262986644872,DEP,BRONX
2015-11-19,2015-11-19,10,-73.8893824938156,40.6654523727094,DOT,BROOKLYN
2015-06-27,2015-08-10,22,-73.9453110943963,40.8151144352082,HPD,MANHATTAN
2015-06-21,2015-06-21,22,-73.9563196120988,40.8031164564009,NYPD,MANHATTAN
2015-06-29,2015-06-29,15,-73.9577035347644,40.7113601526654,NYPD,BROOKLYN
2015-10-19,NA,17,-73.8312499334133,40.8597592388105,DPR,BRONX
2015-01-16,2015-01-17,23,-73.9106052125893,40.755018742306,NYPD,QUEENS
2015-03-23,2015-03-24,22,-73.9367783561208,40.8298656742523,NYPD,MANHATTAN
2015-12-30,2016-01-04,11,-73.9941847073982,40.6780517803212,DSNY,BROOKLYN
2015-12-23,2015-12-23,20,-73.8529137136131,40.8294433709616,NYPD,BRONX
2015-06-20,2015-06-20,16,-73.9141489114637,40.7724148774591,NYPD,QUEENS
2015-12-19,2015-12-19,4,-73.9161313601433,40.7692681200841,NYPD,QUEENS
2015-08-05,2015-08-11,20,-73.9221488748424,40.6308866947129,DOT,BROOKLYN
2015-05-19,2015-07-19,24,-74.0168725381064,40.7061461467577,DOHMH,MANHATTAN
2015-06-30,2015-08-10,16,-73.786221244763,40.7558870881392,DPR,QUEENS
2015-06-22,2015-10-10,11,-73.8743145938739,40.828439411664,HPD,BRONX
2015-12-19,2015-12-30,0,-73.9129325516532,40.7555886875244,DOHMH,QUEENS
2015-11-29,2016-01-08,9,-73.8896071991155,40.8324184337872,HPD,BRONX
2015-10-21,2015-11-01,8,-73.9348828208275,40.8430529571499,HPD,MANHATTAN
2015-11-20,2015-11-20,11,-73.8999979706312,40.6654730696748,DOT,BROOKLYN
2015-05-16,2015-05-16,22,-73.9078546793288,40.6977197483863,NYPD,BROOKLYN
2015-08-18,2015-08-19,20,-73.893917847443,40.646827802388,DEP,BROOKLYN
2015-01-01,2015-01-01,2,-73.9362598883125,40.8543125081873,NYPD,MANHATTAN
2015-06-03,2015-06-03,21,-73.9267153053636,40.8228277558059,NYPD,BRONX
2015-03-16,2015-03-16,9,-73.970510104142,40.6020203234442,DEP,BROOKLYN
2015-08-03,2015-08-21,9,-73.9711259590916,40.6102164402651,DOT,BROOKLYN
2015-09-17,2015-09-26,15,-73.8414585853833,40.6855484763857,HPD,QUEENS
2015-07-03,2015-07-03,1,-73.8832624322542,40.75577378647,NYPD,QUEENS
2015-08-14,2015-08-14,7,-73.8790453908656,40.670945251652,NYPD,BROOKLYN
2015-12-12,2015-12-12,20,-73.8848364869181,40.6658129673136,DEP,BROOKLYN
2015-08-26,2015-08-26,10,-73.912899206205,40.7810900569986,DOT,QUEENS
2015-12-07,2015-12-07,18,-73.9513005171705,40.7120081307186,NYPD,BROOKLYN
2015-09-07,2015-09-15,18,-73.905433571335,40.8714951346663,HPD,BRONX
2015-05-08,2015-05-11,24,-74.1976949460701,40.5588868248379,DOT,STATEN ISLAND
2015-07-30,2015-08-08,24,-73.9263390590145,40.8395839944867,HPD,BRONX
2015-07-28,2015-07-29,0,-73.9744029021442,40.7524540553797,DEP,MANHATTAN
2015-02-09,2015-02-09,19,-73.9063631635344,40.7171899091735,NYPD,QUEENS
2015-05-05,2015-05-05,20,-73.9681700309096,40.5779313326972,NYPD,BROOKLYN
2015-02-18,2015-02-18,19,-73.9100963043216,40.845929223669,NYPD,BRONX
2015-04-28,2015-05-01,15,-73.8842925614994,40.7217041892301,DSNY,QUEENS
2015-11-18,2015-12-04,18,-73.9251405394218,40.8383975079796,HPD,BRONX
2015-07-22,2015-07-23,19,-73.8501814087979,40.7847392170854,NYPD,QUEENS
2015-09-06,2015-09-06,24,-73.9287381329474,40.6849768812479,DEP,BROOKLYN
2015-07-26,2015-07-26,9,-73.8085979030515,40.7679456994401,NYPD,QUEENS
2015-07-07,2015-07-07,17,-73.9557518835608,40.8203777972425,DEP,MANHATTAN
2015-01-08,NA,18,-73.9532392701452,40.8175058296682,DOHMH,MANHATTAN
2015-12-19,2016-01-02,18,-73.951817363059,40.7804431853105,HPD,MANHATTAN
2015-10-11,2015-10-11,1,-73.8601656126967,40.7591103813402,NYPD,QUEENS
2015-06-06,2015-06-07,23,-73.864879756666,40.7520263211024,NYPD,QUEENS
2015-12-16,2015-12-28,21,-73.9867639211614,40.5748580548591,DOB,BROOKLYN
2015-05-15,2015-05-16,21,-73.9097247115643,40.7442174672032,NYPD,QUEENS
2015-06-05,2015-07-01,10,-73.969646797014,40.6870178401867,DOT,BROOKLYN
2015-09-13,2015-09-13,11,-73.9969311496928,40.6947785209924,NYPD,BROOKLYN
2015-10-26,2015-10-27,22,-73.9132348959692,40.6537114483533,NYPD,BROOKLYN
2015-10-25,2015-10-26,23,-73.9367096245093,40.8413412758433,NYPD,MANHATTAN
2015-12-23,2015-12-23,17,-73.7428112942414,40.7153267875634,DEP,QUEENS
2015-05-04,2015-05-12,18,-73.9587748075632,40.6064221115007,DOT,BROOKLYN
2015-02-23,2015-02-27,10,-73.8556174880219,40.7241201282413,DSNY,QUEENS
2015-07-19,2015-12-15,14,-73.7546211683428,40.6066753586693,DOT,QUEENS
2015-12-11,2015-12-11,23,-73.9786514638717,40.728603031177,NYPD,MANHATTAN
2015-11-23,2015-11-29,16,-73.9757790840299,40.6304685890643,HPD,BROOKLYN
2015-10-21,2015-10-22,21,-74.0054977523164,40.6746921920408,NYPD,BROOKLYN
2015-07-15,2015-07-15,7,-73.9550138108022,40.7203482252567,NYPD,BROOKLYN
2015-08-30,2015-09-02,13,-73.9421332725726,40.6016636942812,HPD,BROOKLYN
2015-09-04,NA,8,-73.9979976253781,40.6063526331772,DPR,BROOKLYN
2015-02-25,2015-02-25,20,-73.9337856408796,40.663581623651,NYPD,BROOKLYN
2015-01-31,2015-02-02,24,-73.9503085164974,40.8040033131483,DEP,MANHATTAN
2015-09-05,2015-09-14,14,-73.8125534562318,40.6965280410877,HPD,QUEENS
2015-09-13,2015-09-20,7,-73.9372431583998,40.8274533237931,DEP,MANHATTAN
2015-02-07,2015-02-07,7,-73.9071811614146,40.6323385588836,NYPD,BROOKLYN
2015-07-16,2015-07-20,6,-73.8749266490174,40.8392350393226,DSNY,BRONX
2015-07-10,2015-07-10,16,-73.9011597241432,40.8593490074052,NYPD,BRONX
2015-09-04,2015-09-16,21,-73.9229544540086,40.8349679237852,HPD,BRONX
2015-10-13,2015-10-13,8,-73.8759792385271,40.827112770732,NYPD,BRONX
2015-10-28,2015-11-19,8,-73.9199966721257,40.7011597885506,HPD,BROOKLYN
2015-09-16,2015-09-17,9,-74.1358197791048,40.6348649294219,DSNY,STATEN ISLAND
2015-01-18,2015-01-18,0,-73.865739878132,40.8678739487531,NYPD,BRONX
2015-04-16,2015-04-16,15,-74.0057541107512,40.7210842313634,NYPD,MANHATTAN
2015-09-24,2015-09-28,17,-74.1395086804639,40.5760257407315,DOT,STATEN ISLAND
2015-09-16,2015-09-18,16,-73.8216123966205,40.7019249371383,DSNY,QUEENS
2015-10-17,2015-10-19,18,-73.7367053909975,40.7259681870223,DEP,QUEENS
